iter	Passed	Remaining
409	3535	6811
410	3542	6800
411	3550	6789
412	3557	6778
413	3564	6767
414	3572	6756
415	3579	6746
416	3587	6736
417	3594	6724
418	3601	6713
419	3608	6702
420	3616	6691
421	3623	6680
422	3630	6669
423	3638	6658
424	3645	6647
425	3652	6636
426	3660	6626
427	3667	6616
428	3676	6607
429	3683	6596
430	3691	6585
431	3698	6574
432	3705	6564
433	3713	6554
434	3720	6543
435	3728	6532
436	3735	6522
437	3743	6512
438	3750	6501
439	3758	6491
440	3765	6480
441	3772	6470
442	3780	6459
443	3787	6449
444	3795	6439
445	3802	6429
446	3810	6418
447	3817	6408
448	3825	6398
449	3832	6388
450	3840	6377
451	3847	6367
452	3854	6356
453	3861	6345
454	3869	6335
455	3876	6325
456	3884	6314
457	3891	6304
458	3898	6294
459	3906	6283
460	3913	6272
461	3920	6262
462	3928	6252
463	3935	6242
464	3943	6232
465	3950	6222
466	3957	6212
467	3964	6201
468	3972	6191
469	3979	6180
470	3986	6170
471	3993	6159
472	4001	6149
473	4008	6139
474	4016	6129
475	4023	6120
476	4031	6110
477	4039	6100
478	4046	6090
479	4054	6081
480	4061	6071
481	4069	6061
482	4076	6051
483	4084	6041
484	4091	6032
485	4099	6022
486	4106	6012
487	4114	6002
488	4121	5992
489	4128	5982
490	4136	5973
491	4143	5963
492	4151	5953
493	4158	5943
494	4166	5933
495	4173	5923
496	4180	5913
497	4188	5904
498	4195	5894
499	4203	5884
500	4210	5874
501	4217	5864
502	4224	5854
503	4232	5844
504	4239	5834
505	4246	5824
506	4253	5814
507	4261	5804
508	4268	5795
509	4276	5785
510	4283	5776
511	4290	5765
512	4298	5756
513	4305	5746
514	4312	5736
515	4320	5727
516	4327	5717
517	4335	5707
518	4342	5697
519	4349	5687
520	4356	5677
521	4364	5668
522	4371	5659
523	4379	5649
524	4386	5639
525	4393	5629
526	4400	5620
527	4408	5610
528	4418	5604
529	4425	5594
530	4433	5585
531	4440	5576
532	4448	5566
533	4455	5557
534	4463	5547
535	4470	5538
536	4478	5528
537	4485	5519
538	4492	5509
539	4500	5500
540	4507	5490
541	4514	5480
542	4521	5471
543	4529	5461
544	4536	5452
545	4543	5442
546	4550	5432
547	4557	5422
548	4565	5414
549	4573	5404
550	4580	5395
551	4587	5385
552	4595	5376
553	4602	5366
554	4609	5357
555	4617	5348
556	4625	5339
557	4632	5329
558	4640	5320
559	4647	5311
560	4654	5301
561	4662	5292
562	4669	5283
563	4677	5274
564	4684	5265
565	4692	5255
566	4699	5246
567	4707	5237
568	4714	5228
569	4721	5218
570	4729	5209
571	4736	5199
572	4743	5190
573	4750	5181
574	4758	5171
575	4765	5162
576	4773	5153
577	4780	5144
578	4787	5135
579	4795	5125
580	4802	5116
581	4809	5107
582	4817	5097
583	4824	5088
584	4831	5079
585	4838	5069
586	4846	5060
587	4853	5051
588	4860	5042
589	4867	5032
590	4875	5023
591	4882	5014
592	4890	5005
593	4897	4996
594	4904	4987
595	4912	4978
596	4919	4969
597	4926	4959
598	4933	4950
599	4941	4941
600	4948	4931
601	4955	4922
602	4963	4913
603	4970	4904
604	4977	4895
605	4985	4886
606	4993	4877
607	5000	4868
608	5008	4860
609	5015	4851
610	5023	4842
611	5031	4834
612	5038	4824
613	5045	4815
614	5053	4807
615	5061	4798
616	5069	4789
617	5076	4780
618	5083	4771
619	5091	4762
620	5098	4753
621	5106	4744
622	5113	4736
623	5120	4726
624	5128	4717
625	5135	4708
626	5142	4700
627	5152	4692
628	5159	4684
629	5167	4675
630	5174	4666
631	5182	4657
632	5190	4648
633	5197	4639
634	5204	4631
635	5212	4622
636	5219	4613
637	5226	4604
638	5233	4595
639	5241	4586
640	5248	4577
641	5255	4568
642	5263	4559
643	5270	4550
644	5278	4541
645	5285	4533
646	5292	4523
647	5300	4515
648	5308	4506
649	5315	4497
650	5323	4489
651	5330	4480
652	5337	4471
653	5344	4462
654	5351	4452
655	5359	4444
656	5366	4435
657	5374	4426
658	5381	4417
659	5388	4408
660	5396	4400
661	5403	4391
662	5411	4382
663	5418	4373
664	5425	4365
665	5433	4356
666	5441	4348
667	5448	4339
668	5455	4330
669	5462	4321
670	5470	4312
671	5477	4303
672	5485	4295
673	5492	4286
674	5499	4277
675	5506	4268
676	5514	4260
677	5522	4251
678	5530	4243
679	5537	4234
680	5544	4225
681	5552	4217
682	5559	4208
683	5566	4199
684	5574	4190
685	5581	4182
686	5589	4173
687	5596	4164
688	5603	4156
689	5611	4147
690	5618	4138
691	5625	4129
692	5632	4121
693	5640	4112
694	5648	4104
695	5655	4095
696	5663	4087
697	5670	4078
698	5678	4069
699	5685	4061
700	5692	4052
701	5700	4043
702	5707	4034
703	5714	4026
704	5721	4017
705	5729	4008
706	5736	4000
707	5744	3991
708	5751	3982
709	5758	3974
710	5765	3965
711	5773	3957
712	5780	3948
713	5787	3939
714	5795	3930
715	5801	3921
716	5809	3913
717	5816	3904
718	5824	3896
719	5831	3887
720	5838	3879
721	5846	3870
722	5853	3861
723	5860	3853
724	5868	3844
725	5875	3835
726	5882	3827
727	5890	3818
728	5899	3811
729	5906	3802
730	5914	3794
731	5921	3785
732	5928	3777
733	5936	3768
734	5943	3760
735	5951	3751
736	5958	3743
737	5965	3734
738	5973	3726
739	5981	3717
740	5988	3709
741	5995	3700
742	6003	3692
743	6010	3683
744	6018	3675
745	6025	3667
746	6032	3658
747	6040	3650
748	6048	3641
749	6055	3633
750	6063	3624
751	6070	3616
752	6077	3608
753	6085	3599
754	6092	3590
755	6100	3582
756	6112	3576
757	6125	3572
758	6135	3565
759	6145	3557
760	6155	3550
761	6163	3542
762	6173	3535
763	6183	3528
764	6192	3521
765	6201	3513
766	6210	3505
767	6218	3498
768	6226	3489
769	6238	3484
770	6249	3477
771	6259	3470
772	6271	3464
773	6282	3457
774	6291	3450
775	6300	3442
776	6309	3434
777	6318	3427
778	6326	3419
779	6335	3411
780	6344	3403
781	6352	3395
782	6361	3387
783	6369	3379
784	6379	3372
785	6387	3364
786	6397	3357
787	6406	3349
788	6415	3342
789	6425	3334
790	6435	3327
791	6447	3321
792	6459	3315
793	6469	3307
794	6480	3301
795	6491	3294
796	6502	3287
797	6511	3280
798	6519	3271
799	6528	3264
800	6537	3256
801	6545	3248
802	6554	3240
803	6563	3232
804	6573	3225
805	6582	3217
806	6591	3209
807	6600	3202
808	6609	3194
809	6617	3186
810	6626	3178
811	6635	3170
812	6643	3162
813	6652	3154
814	6662	3147
815	6671	3139
816	6679	3131
817	6688	3123
818	6697	3115
819	6706	3107
820	6715	3099
821	6724	3092
822	6733	3084
823	6745	3078
824	6754	3070
825	6763	3062
826	6773	3054
827	6782	3047
828	6791	3039
829	6800	3031
830	6810	3024
831	6819	3016
832	6828	3008
833	6837	3000
834	6846	2992
835	6855	2984
836	6865	2977
837	6874	2969
838	6883	2961
839	6892	2953
840	6901	2946
841	6910	2938
842	6919	2930
843	6928	2922
844	6938	2914
845	6949	2907
846	6960	2900
847	6969	2893
848	6978	2885
849	6987	2877
850	6999	2870
851	7010	2863
852	7021	2856
853	7030	2848
854	7040	2840
855	7050	2833
856	7058	2825
857	7067	2816
858	7075	2808
859	7084	2800
860	7094	2793
861	7103	2785
862	7113	2777
863	7122	2769
864	7132	2762
865	7142	2754
866	7153	2747
867	7162	2739
868	7173	2732
869	7182	2724
870	7192	2716
871	7200	2708
872	7209	2700
873	7218	2692
874	7228	2684
875	7238	2677
876	7248	2669
877	7259	2662
878	7270	2655
879	7289	2650
880	7300	2643
881	7310	2635
882	7320	2628
883	7329	2620
884	7341	2612
885	7350	2605
886	7360	2597
887	7369	2589
888	7378	2581
889	7387	2573
890	7396	2565
891	7405	2557
892	7414	2548
893	7423	2540
894	7432	2532
895	7442	2525
896	7451	2517
897	7460	2509
898	7470	2501
899	7479	2493
900	7488	2485
901	7497	2477
902	7506	2469
903	7515	2460
904	7524	2452
905	7533	2444
906	7544	2437
907	7553	2429
908	7566	2422
909	7576	2414
910	7586	2406
911	7596	2398
912	7606	2390
